Contig	Average_Coverage	Min_Coverage	Max_Coverage	Median_Coverage
Chromosome-22678/2	1.00	1	1	1.0
Chromosome-19512/2	1.00	1	1	1.0
Chromosome-41816/2	1.00	1	1	1.0
Chromosome-34114/1	1.00	1	1	1.0
Chromosome-45268/2	1.00	1	1	1.0
Chromosome-41088/1	1.00	1	1	1.0
Chromosome-22976/2	1.00	1	1	1.0
Chromosome-50928/2	1.00	1	2	1.0
Chromosome-37678/1	1.00	1	1	1.0
Chromosome-31230/1	1.00	1	1	1.0
Chromosome-8962/2	1.00	1	1	1.0
Chromosome-13210/1	1.00	1	1	1.0
Chromosome-19142/1	1.00	1	1	1.0
Chromosome-59066/2	1.00	1	1	1.0
Chromosome-20394/1	1.00	1	1	1.0
Chromosome-1018/2	1.00	1	1	1.0
Chromosome-33734/1	1.00	1	1	1.0
Chromosome-25438/2	1.00	1	1	1.0
Chromosome-43860/1	1.00	1	1	1.0
Chromosome-53422/2	1.00	1	1	1.0
Chromosome-38108/2	1.00	1	1	1.0
Chromosome-1262/2	1.00	1	1	1.0
Chromosome-27744/1	1.00	1	1	1.0
Chromosome-54124/1	1.00	1	1	1.0
Chromosome-36360/1	1.00	1	1	1.0
Chromosome-40636/2	1.00	0	1	1.0
Chromosome-47448/2	1.00	1	1	1.0
Chromosome-9388/2	1.00	1	1	1.0
Chromosome-49308/2	1.00	1	1	1.0
Chromosome-32582/2	1.00	1	1	1.0
Chromosome-4230/1	1.00	1	1	1.0
Chromosome-27272/2	1.00	1	1	1.0
Chromosome-71486/2	1.00	1	1	1.0
Chromosome-4812/1	1.00	1	1	1.0
Chromosome-65258/2	1.00	1	1	1.0
Chromosome-26140/1	1.00	1	1	1.0
Chromosome-22044/1	1.00	1	1	1.0
Chromosome-70424/2	1.00	1	1	1.0
Chromosome-26556/2	1.00	1	1	1.0
Chromosome-20088/2	1.00	1	1	1.0
Chromosome-48496/1	1.00	1	1	1.0
Chromosome-17354/1	1.00	1	1	1.0
Chromosome-40528/2	1.00	1	1	1.0
Chromosome-18228/2	1.00	1	1	1.0
Chromosome-35742/2	1.00	1	1	1.0
